iter	Logloss
0	0.6888327254
1	0.6851875074
2	0.6810745952
3	0.6775466506
4	0.6749275138
5	0.6715434794
6	0.6693383234
7	0.6665086142
8	0.6637065372
9	0.6611857312
10	0.6588272552
11	0.6567017051
12	0.6547009678
13	0.6529490382
14	0.6514279015
15	0.6502109567
16	0.6487783418
17	0.6477719796
18	0.6470374337
19	0.6458192223
20	0.6450722621
21	0.6440789119
22	0.6431321413
23	0.6423203201
24	0.6415758835
25	0.6409700786
26	0.6402781834
27	0.6398454103
28	0.6394153614
29	0.638885397
30	0.6384466263
31	0.6379614629
32	0.6376408453
33	0.6373399115
34	0.6368773263
35	0.6366386936
36	0.6362469328
37	0.6359019347
38	0.6355969754
39	0.6352923483
40	0.6350841823
41	0.634931065
42	0.6347465012
43	0.6346733212
44	0.6344231668
45	0.6341643867
46	0.6340281856
47	0.6339799358
48	0.6339350223
49	0.6337683253
50	0.6336807339
51	0.6335279982
52	0.6334947713
53	0.6333772552
54	0.6333530099
55	0.6332684363
56	0.6332116746
57	0.6330435444
58	0.6329012678
59	0.6327680967
60	0.6327158247
61	0.6325476876
62	0.6324893414
63	0.632449776
64	0.6323248615
65	0.6322856013
66	0.6321953486
67	0.6320915868
68	0.6320844858
69	0.6320101459
70	0.6319146042
71	0.6317963592
72	0.6317406772
73	0.6317373964
74	0.6317351855
75	0.631666715
76	0.6315764699
77	0.6315755596
78	0.631548536
79	0.6315455822
80	0.6315457998
81	0.6314832722
82	0.6314199159
83	0.631356407
84	0.6312986285
85	0.6312248907
86	0.6311974467
87	0.6311243832
88	0.6310371744
89	0.6310111591
90	0.6310100346
91	0.6309757761
92	0.630975527
93	0.6309174947
94	0.630862211
95	0.6307596035
96	0.6307303586
97	0.630725627
98	0.6306713967
99	0.6306233887
