iter	Passed	Remaining
0	0	40
1	0	33
2	1	33
3	1	32
4	1	29
5	1	28
6	2	28
7	2	27
8	2	26
9	2	25
10	3	25
11	3	24
12	3	23
13	3	23
14	4	24
15	4	23
16	4	23
17	5	23
18	5	22
19	5	22
20	5	21
21	6	21
22	6	20
23	6	20
24	6	20
25	6	19
26	7	19
27	7	18
28	7	18
29	7	18
30	8	18
31	8	17
32	8	17
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	13	10
55	13	10
56	13	10
57	13	9
58	14	9
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	18	5
78	19	5
79	19	4
80	19	4
81	20	4
82	21	4
83	21	4
84	21	3
85	21	3
86	22	3
87	22	3
88	22	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	25	0
98	26	0
99	26	0
